symbol,event_date,event_type
600000.SH,2022-11-07,earnings
600001.SH,2022-11-07,earnings
600002.SH,2022-11-07,earnings
600003.SH,2022-11-07,earnings
600004.SH,2022-11-07,earnings
600005.SH,2022-11-07,earnings
600006.SH,2022-11-07,earnings
600007.SH,2022-11-07,earnings
600008.SH,2022-11-07,earnings
600009.SH,2022-11-07,earnings
600010.SH,2022-11-07,earnings
600011.SH,2022-11-07,earnings
600012.SH,2022-11-07,earnings
600013.SH,2022-11-07,earnings
600014.SH,2022-11-07,earnings
600015.SH,2022-11-07,earnings
600016.SH,2022-11-07,earnings
600017.SH,2022-11-07,earnings
600018.SH,2022-11-07,earnings
600019.SH,2022-11-07,earnings
600020.SH,2022-11-07,earnings
600021.SH,2022-11-07,earnings
600022.SH,2022-11-07,earnings
600023.SH,2022-11-07,earnings
600024.SH,2022-11-07,earnings
600025.SH,2022-11-07,earnings
600026.SH,2022-11-07,earnings
600027.SH,2022-11-07,earnings
600028.SH,2022-11-07,earnings
600029.SH,2022-11-07,earnings
600030.SH,2022-11-07,earnings
600031.SH,2022-11-07,earnings
600032.SH,2022-11-07,earnings
600033.SH,2022-11-07,earnings
600034.SH,2022-11-07,earnings
600035.SH,2022-11-07,earnings
600036.SH,2022-11-07,earnings
600037.SH,2022-11-07,earnings
600038.SH,2022-11-07,earnings
600039.SH,2022-11-07,earnings
600040.SH,2022-11-07,earnings
600041.SH,2022-11-07,earnings
600042.SH,2022-11-07,earnings
600043.SH,2022-11-07,earnings
600044.SH,2022-11-07,earnings
600045.SH,2022-11-07,earnings
600046.SH,2022-11-07,earnings
600047.SH,2022-11-07,earnings
600048.SH,2022-11-07,earnings
600049.SH,2022-11-07,earnings
600050.SH,2022-11-07,earnings
600051.SH,2022-11-07,earnings
600052.SH,2022-11-07,earnings
600053.SH,2022-11-07,earnings
600054.SH,2022-11-07,earnings
